sku;name;weight;price;category;stock;description;image
5F5NZ9HN9;Máscara Curlys Cachos Bela Pro 300 g;300 g;36.00;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-curlys-cachos-bela-pro-300-g-653728639b65d-large.png
JKHS7FKJ9;Reparador de Pontas Coco & Camomila By Vitória Lima 60 mL;60 mL;69.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/reparador-de-pontas-coco-camomila-by-vitoria-lima-60-ml-667c4fc05a4cb-large.png
2XFPQEJHA;Condicionador Leite de Coco 2,5 L;2,5 L;110.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-leite-de-coco-25-l-6927b1be7296e-large.png
Q8ELXT62T;Ampolaço NutriSim BelaPro 45 mL;45 mL;13.14;Bela Pro;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/ampolaco-nutrisim-belapro-450-ml-6a6a59c4e9d41-large.png
KX3FZGXKV;Emulsão Cremosa Oxidante OX30 Volumes EcoBelle 900 mL;900 mL;32.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/emulsao-cremosa-ox-30-volumes-eco-belle-900-ml-64f205ce1ecc8-large.png
3VQF4SU8K;Kit Protetor de Descoloração Eco Plex 2 Passos 300 ml;300 ml;210.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/kit-protetor-de-descoloracao-eco-plex-2-passos-300-ml-6927aff0914bb-large.png
25VPFV8HP;Ampola Semi Di Lino 15mL (4 UNIDADES);15mL;49.20;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/ampola-semi-di-lino-15ml-4-unidades-646d0ce1f27ef-large.png
8YHKWEN8R;Condicionador La boue Home Care Blanc 300ml;300ml;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/condicionador-la-boue-home-care-blanc-300ml-6479f3683916e-large.png
5CLM83ZE4;Shampoo La boue Home Care Blanc 300ml;300ml;40.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/shampoo-la-boue-home-care-blanc-300ml-6479f9d45315f-large.png
9UV5KU3QQ;Máscara de Tratamento La Boue Verte EcoBelle 500ml;500ml;200.00;Ecobelle;in_stock;;https://images.yampi.me/assets/stores/grupo-ecobelle/uploads/images/mascara-de-tratamento-la-boue-vert-ecobelle-500ml-647a0104c6827-large.png
